人 士
贵人 后宫
皇室 王室
太后 皇太后
太子 皇太子
王子 皇子
公主 郡主
王孙 金枝玉叶
王公 公爵
贵族 万户侯
权贵 显贵
太监 宦官
宫女 宫娥
女官 女史
官吏 臣子
大臣 重臣
芝麻官 知府
忠臣 忠良
奸臣 坏官
清官 青天
赃官 贪官
差役 公差
文官 武官
议员 常务委员
宰相 丞相
秀才 生员
状元 榜眼
幕宾 幕僚
门客 门下
使者 使节
务使 密使
领袖 元首
头领 头脑
控制者 操纵者
主席 总统
党魁 霸主
酋长 土司
阿拉法特 伊丽莎白
李瑞环 彭德怀
领导 负责人
领队 总指挥
监工 工头
部长 司长
省长 市长
厂长 校长
经理 襄理
会长 董事长
大使 公使
带班 领班
党支书 党委书记
支书 村官
部级 部长级
裁判长 议长
系主任 室主任
创建者 创立者
创业者 创业人
策划人 策划者
首倡者 首创者
倡导者 倡议者
主办人 主办者
经办人 经办人员
名人 名流
要人 要员
泰戈尔 爱迪生
艾森豪威尔 戴高乐
李时珍 白求恩
巴尔扎克 达尔文
考茨基 罗伯特
华罗庚 钱学森
孔子 孟子
齐白石 徐悲鸿
包公 项羽
隐士 逸民
小人物 老百姓
健康人 好人
病人 病家
植物人 瘫子
疯子 疯人
伤员 伤号
残废 残缺
跛子 瘸子
驼子 驼背
瞎子 盲人
哑巴 哑子
孕妇 妊妇
鳏寡孤独 孤寡
鳏夫 孤老
寡妇 孀妇
孤 孤儿
孤魂 孤鬼
光杆儿 光杆司令
单身汉 独身汉
富翁 财主
阔少 大少爷
债主 债权人
吸血鬼 寄生虫
穷人 穷鬼
乞丐 乞
债户 负债人
帮扶户 保户
闲杂人员 无聊者
幸运儿 福人
红人 宠儿
可怜虫 小可怜儿
无辜 俎上肉
出气筒 受气包
泪人儿 弃儿
瓮中之鳖 网中之鱼
众矢之的 过街老鼠
屈死鬼 冤魂
被害人 受害人
当事人 当事者
求援者 上当者
冤大头 大头
替身 替死鬼
祸胎 祸根
火主 火头
