人 士
常规武器 生物武器
枪 枪支
步枪 大枪
盒子枪 驳壳枪
机关枪 机枪
长枪 短枪
手枪 勃郎宁
枪口 枪栓
炮 火炮
无坐力炮 无座力炮
火箭炮 喀秋莎
瞎炮 哑炮
重炮 榴弹炮
刺刀 枪刺
军刀 马刀
弹药 弹
枪弹 子弹
燃烧弹 烧夷弹
榴霰弹 子母弹
氢弹 热核武器
霰弹 群子弹
飞弹 流弹
弹头 弹丸
弹壳 药筒
手榴弹 手雷
炸弹 空包弹
险弹 哑弹
多弹头 核弹头
炸药 火药
梯恩梯 黄色炸药
黑色火药 无烟火药
地雷 水雷
爆破筒 掷弹筒
爆炸物 炸药包
弓 弩弓
硬弓 弯弓
箭 矢
响箭 鸣镝
暗箭 暗器
箭头 箭镞
箭靶子 靶子
靶 环靶
矛 长矛
枪 长枪
红缨枪 花枪
盾 盾牌
印尼盾 印度尼西亚盾
剑 宝剑
短剑 匕首
上方宝剑 尚方宝剑
佩剑 太极剑
七星针 梭镖
军舰 兵舰
战列舰 战斗舰
护卫舰 护航舰
潜水艇 潜艇
炮艇 护卫艇
旗舰 航空母舰
核潜艇 猎潜艇
敌舰 友舰
战斗机 歼击机
主机 长机
僚机 侦察机
坦克 坦克车
装甲车 铁甲车
火箭 运载火箭
多级火箭 宇宙火箭
洲际导弹 核导弹
纸牌 叶子
骨牌 牙牌
扑克 扑克牌
麻将 麻雀
色子 骰子
旱烟袋 烟袋
水烟袋 水烟筒
烟斗 烟嘴儿
刑具 大刑
镣 脚镣
铐 手铐
镣铐 桎梏
绞架 绞索
夹棍 老虎凳
灯 灯火
日光灯 荧光灯
台灯 桌灯
汽灯 保险灯
本生灯 煤气灯
马灯 桅灯
风灯 风雨灯
油灯 灯盏
灯笼 纱灯
手电筒 电筒
电灯泡 灯泡
灯罩 灯伞
灯心 炷
灯台 檠
宫灯 华灯
灯彩 灯头
镜子 镜
凹面镜 凹镜
凸面镜 凸镜
凹透镜 发散透镜
凸透镜 放大镜
三棱镜 棱镜
球面镜 反光镜
穿衣镜 哈哈镜
眼镜 镜子
透镜 镜片
墨镜 茶镜
花镜 老花镜
望远镜 千里眼
接物镜 物镜
接目镜 目镜
风镜 潜望镜
刷 刷子
牙刷 发刷
帚 扫帚
鸡毛掸子 掸子
拖把 墩布
毛巾 手巾
手绢 手巾
头帕 头巾
枕巾 餐巾
抹布 搌布
肥皂 胰子
洗涤剂 肥皂粉
梳子 梳
针 金针
针鼻儿 针眼
顶针 针箍
勾针 毛线针
线 缕
丝线 绒线
毛线 绒线
线桄子 线轴儿
线坯子 麻线
针线 针头线脑
锅 釜
火锅 一品锅
平底锅 铛
高压锅 压力锅
铁锅 气锅
壶 铫
便壶 夜壶
水壶 茶壶
蒸笼 笼屉
勺子 勺
舀子 水瓢
匙子 匙
马勺 漏勺
筷子 筷
盆 盆子
钵 钵头
钵盂 钵
缸盆 瓦盆
澡盆 浴盆
痰盂 痰桶
花盆 脸盆
马桶 恭桶
水桶 饭桶
瓶 瓶子
冰瓶 保温瓶
暖水瓶 保温瓶
花瓶 花插
吊瓶 输液瓶
奶瓶 药瓶
盘 盘子
碟 碟子
茶盘 托盘
杯 杯子
酒杯 酒盅
烧杯 高脚杯
奖杯 挑战者杯
海碗 饭碗
坛子 坛
酒坛 埕
罐子 罐
储存罐 储罐
储油罐 煤气罐
缸子 缸
水缸 酒缸
箱 箱子
书箱 笈
信箱 邮箱
竹箱 簏
提箱 手提箱
果皮筒 果皮箱
保健箱 急救箱
举报箱 信报箱
标准箱 行李箱
皮箱 纸箱
箱体 箱内
盒子 匣子
烟盒 香烟盒
八音盒 八音匣子
暗盒 黑匣子
饭盒 罐头盒
纸盒 瓷盒
方盒 闸盒
篮 篮子
菜篮 花篮
篓 篓子
背篓 驮篓
笆篓 罐笼
笼 笼子
鸡笼 竹笼
箩筐 箩
淘箩 筲箕
笆斗 栲栳
笸箩 笥
竹筐 藤筐
簸箕 畚箕
粪箕子 粪筐
提包 手提包
麻包 麻袋
沙包 沙袋
钱包 皮夹子
皮包 书包
袋 袋子
网袋 网兜
纸口袋 纸袋
背搭子 褡裢
行囊 药囊
粮袋 育儿袋
套 套子
鞘 韬
书套 书函
被套 被袋
椅套 椅披
滚轮 虎伏
浪木 浪桥
拉簧 扩胸器
杠子 杠
手榴弹 铁饼
双杠 单杠
石锁 石担
滑雪板 接力棒
转盘 天桥
羽毛球拍 网球拍
球 球类
乒乓球 台球
康乐球 克郎球
球拍 拍子
弹子 台球
篮球 排球
篮板球 任意球
排坛 国球
棋 棋子
棋盘 围盘
象棋 国际象棋
慢棋 快棋
黑棋 白棋
乐器 法器
打击乐器 响器
弦乐器 丝弦
古琴 七弦琴
三弦 弦子
二胡 南胡
扬琴 洋琴
六弦琴 吉他
阮咸 阮
箫 洞箫
排箫 参差
笙 参差
笛 笛子
号 喇叭
号角 角
小锣 铴锣
鼓槌 桴
拍板 鼓板
老弦 里弦
子弦 外弦
弦乐器 管乐器
提琴 中提琴
胡琴 京胡
短笛 风笛
钢琴 风琴
鼓 铜鼓
弦 轴子
马锣 铜锣
拨弦 丝竹管弦
幕 幕布
银幕 屏幕
布景 景
内景 外景
照相机 相机
摄影机 录相机
暗箱 镜头
胶片 软片
影片 片子
拷贝 正片
底片 底版
正色片 分色片
黑白片 彩色片
文具 文房四宝
印泥 印色
印台 打印台
信封 封皮
图钉 摁钉儿
糨糊 糨子
钢板 誊写钢版
镇纸 橡皮
九宫格儿 红模子
誊写版 蜡版
纪念封 首日封
调色板 绘图板
笔 笔杆
毛笔 毫
钢笔 自来水笔
圆珠笔 原子笔
笔套 笔帽
笔铅 笔心
蘸水钢笔 铅笔
笔筒 笔洗
墨 松烟墨
墨汁 墨水
徽墨 朱墨
墨盒 墨水池
蓝墨水 红墨水
纸 纸张
报纸 白报纸
宣纸 宣
玉版纸 玉版宣
稿纸 原稿纸
信纸 信笺
吸墨纸 吸水纸
手纸 草纸
油纸 竹纸
砚 砚台
石砚 歙砚
簿册 簿子
表册 表
笔记本 笔记簿
帐簿 帐本
名册 人名册
户口簿 户口册
折子 折
食谱 菜谱
聘书 聘约
练习簿 作文簿
手册 画册
家谱 族谱
同学录 名录
金牌榜 积分榜
年历 日历
卡片 卡
承诺卡 保证卡
储蓄卡 银行卡
名帖 名片
帖 柬
请帖 请柬
黑帖 无名帖
谢帖 禀帖
名信片 年历片
单据 票据
借条 借据
收条 收据
存执 存根
发票 发单
保单 保单
结 保证书
提单 提货单
门票 入场券
站台票 月台票
往返票 来回票
免票 赠券
定单 存单
当票 传票
客票 站票
折扣票 假票
赞成票 信任票
起诉状 命令状
证书 证明
路条 路签
文凭 毕业证书
执照 照
行车执照 驾照
合格证 合格证书
护照 牌照
工作证 居留证
公证书 质保书
凭证 凭据
虎符 兵符
标志 标记
牌子 牌
路牌 指路牌
筹码 筹
签子 签
封条 封皮
幛子 幛
匾 匾额
横幅 横披
界桩 桩子
令箭 令旗
招牌 粉牌
航标 风向标
喜幛 挽幛
迪斯尼 东芝
巨匾 镜匾
部标 地标
旗帜 旗子
军旗 麾
招子 幌子
旗杆 杠
国旗 党旗
图章 印章
公章 私章
日戳 邮戳
徽章 证章
帽徽 帽章
袖章 袖标
纪念章 领章
国徽 团徽
线香 盘香
蜡烛 烛
蜡台 烛台
花烛 红烛
蜡渣子 烛花
白蜡 蜂蜡
香烛 香火
火柴 洋火
火把 火炬
纽扣 纽
子母扣儿 摁扣儿
风纪扣 网扣
旋钮 按钮
键 回车键
襻儿 纽襻
结 结子
活结 活扣
死结 死扣
蝴蝶结 领结
绳 索
缰绳 絷
钢索 钢缆
草绳 尼龙绳
铁索 套索
线缆 主钢缆
链 链子
铁链 表链
带 带子
彩带 彩练
绶带 绂
腰带 褡包
腿带 绑腿
吊带 吊袜带
背带 书包带
桌子 台子
方桌 八仙桌
圆桌 圆台
书桌 书案
梳妆台 镜台
条案 条桌
六仙桌 炕桌
服务台 乒乓球台
圆桌面 桌面
桌椅 桌椅板凳
抽屉 抽斗
车斗 风斗
椅子 椅
圈椅 安乐椅
躺椅 转椅
凳子 凳
长凳 条凳
板凳 竹凳
床 榻
行军床 帆布床
木床 板床
病床 病榻
牙床 铁床
床板 床架
通铺 吊铺
火炕 土炕
橱 柜
碗橱 碗柜
衣橱 衣柜
床边橱 床边柜
保险柜 保险箱
栏柜 拦柜
书橱 纱橱
立柜 铁柜
屏风 屏
插屏 围屏
货架 书架
卧具 寝具
被褥 铺盖
被子 被卧
棉絮 棉花胎
褥子 垫被
草垫子 草荐
棉被 鸭绒被
被窝儿 被套
油毛毡 油毡
棉被褥 棉褥
毯子 毯
毛毯 绒毯
枕头 枕
枕套 枕心
床单 褥单
帐子 蚊帐
军帐 纱帐
遮阳篷 车篷
席子 席
篾席 竹席
草席 荐
苇箔 苇席
帘子 帘
幔 幔帐
窗帘 窗幔
竹帘 门帘
地幔 孝幔
帐幕 帐篷
垫子 垫
坐垫 靠垫
罩子 罩
奶罩 胸罩
面罩 面纱
床罩 口罩
钟 时钟
座钟 台钟
自鸣钟 摆钟
表 手表
马表 跑表
怀表 挂表
表针 指针
表盘 表面
夜光表 秒表
晴雨表 坤表
漏刻 漏壶
化妆品 脂粉
生发油 头油
唇膏 口红
扑粉 香粉
香水 花露水
水粉 胭脂
饰物 装饰品
流苏 穗子
发夹 发卡
衣饰 服饰
花边 缨子
竹黄 缂丝
珠宝 猫眼
领带夹 领带卡
首饰 头面
戒指 戒
耳环 耳坠子
项链 项练
镯子 手镯
玉簪 发簪
钗 鸡心
绣品 刺绣
苏绣 湘绣
伞 阳伞
盖 华盖
阳伞 旱伞
折伞 自动伞
布伞 纸伞
扇子 扇
葵扇 芭蕉扇
团扇 纨扇
电扇 风扇
羽扇 蒲扇
换气扇 排风扇
扇面儿 扇骨子
暖壶 汤壶
烘篮 烘笼
炭盆 火盆
玩具 玩意儿
弹子 玻璃球
风筝 纸鸢
玩偶 托偶
拨浪鼓 波浪鼓
木马 跷跷板
面人 泥人
铃 铃铛
梆子 梆
哨子 哨
醒木 惊堂木
电铃 风铃
汽笛 警笛
货郎鼓 战鼓
编钟 洪钟
点 唤头
爆竹 炮仗
双响 二踢脚
鞭炮 鞭
花盒 盒子
棺材 棺木
灵柩 灵榇
寿材 寿木
骨灰盒 骨灰箱
石棺 水晶棺
冥器 殉葬品
灵牌 灵位
俑 偶人
银锭 锡箔
纸马 纸船
衣料 料子
毛料 料子
零头 布头
布 布匹
粗布 毛布
斜纹布 斜纹
羽缎 羽毛缎
卡其 咔叽
花布 印花布
夏布 麻布
府绸 麻纱
布条 彩布条
灯芯绒 条绒
丝绒 天鹅绒
丝绸 绸缎
纺绸 小纺
纨 缣
练 缟
柞丝绸 茧绸
香云纱 莨绸
春绸 线春
彩绸 彩
毛葛 葛
塔夫绸 绢丝纺
呢绒 呢子
直贡呢 礼服呢
驼绒 骆驼绒
针织 针织物
哔叽 花呢
织品 织物
衣服 衣物
大衣 大氅
披风 斗篷
披肩 帔
长衫 大褂
罩衫 罩袍
内衣 小衣裳
中装 中服
西装 西服
盛服 盛装
礼服 大礼服
朝服 蟒袍
便装 便服
外衣 外套
夏装 夏衣
冬装 冬衣
皮衣 裘
童装 小衣裳
兜肚 兜兜
睡衣 睡袍
军服 军装
法衣 袈裟
戏装 戏衣
孝服 重孝
鹑衣 百衲衣
单衣 夹衣
制服 工作服
时装 新装
旗袍 黑袍
衣裤 衣裙
上装 上衣
背心 马甲
马褂 单褂
衬衣 衬衫
汗衫 汗褂
绒衣 卫生衣
棉毛衫 球衫
裤子 裤
衬裤 裤衩
绒裤 卫生裤
短裤 长裤
马裤 灯笼裤
裤裆 裤脚
裙子 裙
连衣裙 布拉吉
纱笼 油裙
领子 领
高领 翻领
裤腰 腰
衣袋 口袋
前胸袋 裤兜
袖子 衣袖
套袖 罩袖
短袖 长袖
袖口 袖头
衣襟 衽
大襟 裾
后襟 后身
前襟 前身
帽 帽子
斗笠 箬帽
小帽 瓜皮帽
纱帽 乌纱帽
皇冠 王冠
礼帽 便帽
呢帽 毡帽
帽舌 帽檐
鞋帽 衣冠
钢盔 金冠
鞋 鞋子
拖鞋 趿拉儿
木屐 趿拉板儿
皮鞋 革履
绣花鞋 绣鞋
雨鞋 钉鞋
跑鞋 钉鞋
便鞋 草鞋
鞋帮 鞋脸
靴 靴子
马靴 皮靴
头巾 网巾
围巾 围脖儿
方巾 红领巾
袜子 袜
丝袜 毛袜
手套 拳套
粮食 食粮
干粮 糇粮
粗粮 糙粮
米 大米
籼米 机米
碎米 粞
江米 糯米
糙米 粝
秫米 高粱米
米粒 糁
米粉 米面
面粉 白面
玉米面 棒子面
麸子 麸皮
主粮 细粮
粳米 黄米
小米面 豆面
富强粉 标准粉
粮棉 粮油
饲料 草料
谷草 潲
精饲料 粗饲料
粮草 粮秣
鱼饵 钓饵
鱼虫 金鱼虫
食物 食品
饭食 饭菜
熟食 烟火食
消夜 飧
主食 主食品
副食 副食品
零食 零嘴
肉品 肉食品
主食品 副食品
软食 面食
洋快餐 便餐
爆米花 玉米花
残羹 残羹剩饭
饭 米饭
盖饭 盖浇饭
份儿饭 客饭
泡饭 捞饭
菜饭 八宝饭
粥 稀饭
羹 肉汤
小米粥 大米粥
锅巴 锅贴
面条 面
汤面 面汤
抻面 拉面
削面 刀削面
卷子 卷
馒头 包子
饼子 饽饽
光面 杂面
死面 硬面
杂粮 粗粮
窝头 窝窝头
油茶 油茶面儿
麦片 糌粑
菜肴 菜
酒食 酒饭
美食 美味
山珍海味 水陆
糟糠 粗茶淡饭
冷盘 拼盘
菜码儿 浇头
腊味 卤味
生菜 熟菜
卤菜 冷菜
荤菜 荤腥
全家福 一品锅
鱼鲜 海鲜
肉排 排骨
肉末 肉松
肉丸 狮子头
脯 腊肉
烤肉 炙
猪蹄 蹄子
粉蒸肉 米粉肉
白肉 肥肉
杂碎 下水
肥肠 圈子
虾米 海米
干贝 江珧柱
鱼翅 翅
鲞 鲞鱼
咸鱼 鲍鱼
松花 松花蛋
肉片 脔
生肉 鲜肉
禽肉 红烧肉
气锅鸡 素鸡
卤虾 卤鸭
猪手 糖醋鱼
鲜蛋 茶叶蛋
蛋松 鱼松
素菜 素
千张 豆腐皮
豆腐干 香干
豆腐乳 酱豆腐
豆腐皮 豆腐衣
豆芽儿 豆芽菜
粉条 粉
粉丝 粉
酱菜 酱瓜
豆腐 豆花
调味品 作料
八角 大料
味精 味素
淀粉 小粉
胡椒 胡椒面
姜 生姜
花椒 椒
动物淀粉 糖原
五香 花椒
油 食油
素油 清油
猪油 大油
菜油 菜子油
茶油 清油
花生油 生油
芝麻油 麻油
板油 脂油
植物油 动物油
油花 油水
盐 食盐
岩盐 矿盐
海盐 池盐
盐霜 盐坨子
酱 醢
芝麻酱 麻酱
果子酱 果酱
酱油 虾酱
醋 醯
糖 食糖
冰糖 方糖
点心 点
甜食 甜品
糕点 饽饽
糕饼 饵
饼 饼饵
烙饼 饼子
烧饼 大饼
油条 油炸鬼
饺子 饺
汤圆 汤团
团子 团
粽子 粽
馄饨 抄手
江米酒 酒酿
西点 早点
糕 蛋糕
月饼 馅儿饼
饼干 糕干
春卷 桃酥
水饺 花边饺
糖果 糖
饴糖 饴
糖稀 饧
糖葫芦 冰糖葫芦
喜糖 软糖
蜜饯 果脯
干鲜果 耿饼
果料儿 果仁儿
青丝 松仁
馅料儿 心子
豆沙 豆蓉
酵子 鲜酵母
发粉 起子
酒曲 酒母
面肥 发面
饮料 饮
豆浆 豆乳
可可 可可茶
咖啡 咖啡茶
冰棍儿 冰糕
冰激凌 冰淇淋
冰糕 雪糕
热饮 冷饮
牛奶 羊奶
果子露 玫瑰露
果汁 橘子汁
雪碧 可乐
茶 茶叶
砖茶 茶砖
花茶 香片
茶晶 茶卤
绿茶 瓜片
红茶 祁红
小叶儿茶 清茶
茶水 茶卤儿
酒 酿
美酒 醇酒
黄酒 绍兴酒
白酒 烧酒
甜酒 醴
清酒 水酒
果子酒 露酒
交杯酒 喜酒
乳酪 酪
酥油 油
奶酪 干酪
药品 药物
中药 国药
丸 丸药
散 药粉
膏 膏药
汤药 汤
药引子 引子
饮子 饮
针剂 针
试剂 试药
冲剂 浸剂
麻醉剂 蒙药
栓剂 坐药
制剂 药剂
酊剂 酊
酏剂 酏
醑剂 醑
灵丹 妙药
青霉素 地霉素
磺胺 氨苯磺胺
牛痘苗 痘苗
结核菌素 结素
安眠药 催眠药
红汞 汞溴红
龙胆紫 甲紫
麝香 麝
奎宁 金鸡纳霜
阿胶 驴皮胶
蜂王浆 王浆
蜂蜜 蜜
樟脑丸 卫生丸
滴滴涕 敌百虫
避孕片 避孕药
咖啡因 茶精
造影剂 显影液
驱虫剂 祛痰剂
痛经宁 福尔马林
洁白丸 胶丸
浸膏 软膏
名药 良药
防疫针 避孕针
麻黄 砂仁
含片 药片
松果体素 生成素
维生素 维他命
维生素 烟酸
补品 滋补品
保鲜剂 防腐剂
去污剂 清洁剂
消毒剂 除臭剂
毒品 毒物
毒酒 鸩毒
海洛因 白面儿
鼠药 耗子药
吗啡 大麻
黄毒 狼毒
毒药 毒剂
鸦片 阿片
砒霜 白砒
烟 烟草
香烟 纸烟
雪茄 卷烟
烟斗丝 斗烟丝
烟丝 烟
烟头 烟蒂
鼻烟 旱烟
阳历 太阳历
阴历 太阴历
伊斯兰教历 回历
庚子 戊寅
天干 地支
子丑寅卯 子午卯酉
公元 纪元
宣统 嘉靖
藏历 傣历
时代 年代
古代 古
近代 近现代
现代 当代
盛世 治世
乱世 浊世
新篇章 新纪元
上古 中古
朝代 王朝
历朝历代 历代
周朝 北宋
汉唐 隋唐
年代 年岁
时期 时代
年月 日月
学期 假期
成长期 发展期
兑付期 偿还期
产期 分娩期
后过渡期 转型期
主汛期 枯水期
预备期 见习期
禁赛期 禁渔期
孕穗期 抽穗期
新鲜期 保质期
承包期 租期
孕前 婚后
后半期 中后期
冬闲 双抢
高三 初二
上期 本期
时间 时刻
日期 日子
一向 阵子
全年 全年候
分分秒秒 弹指一挥间
峥嵘岁月 蹉跎岁月
作息时间 黄金时间
标准时 地方时
工时 工日
年龄段 时间段
时候 时节
名震一时 风光一时
下半时 上半时
此一时 彼一时
雪后 震后
时机 天时
良机 生机
花明柳暗 柳暗花明
关头 关键
平时 平常
暇时 闲暇
业余 课余
期限 限期
五年期 三年期
活期 有期
中长期 中短期
期间 间
始终 前后
会期 斋期
产中 年中
席间 一夜间
初期 前期
清初 民初
年初 年头
月初 朔望
中期 中叶
正月十五 月中
末期 后期
晚唐 清末
年终 年底
月终 月底
上月底 本月底
现在 现时
目前 眼前
今宵 今夜
过去 从前
自古 古来
从小 自小
至今 迄今
以前 先前
事先 之前
前夕 前夜
生前 战前
上次 上回
近来 近日
将来 未来
即日 不日
改日 改天
以后 之后
一会儿 不一会儿
身后 百年之后
下半年 下星期
猴年马月 驴年马月
隔日 间日
一生 一世
今生 今世
半生 半世
前半辈子 前半生
后半辈子 后半生
年龄 年纪
不惑 不惑之年
半百 知天命之年
高龄 遐龄
牙口 口
低龄 幼龄
党龄 军龄
树龄 年轮
童年 幼年
少年 妙龄
青年 青春
老中青 青壮年
壮年 中年
晚年 老年
年 年份
十年 旬
百年 世纪
今年 当年
明年 来年
去年 去岁
每年 年年
前年 大前年
学年 财政年度
周年 本命年
本世纪 新世纪
四季 四时
一季度 四季度
春 春季
初春 开春
暮春 季春
仲春 季春
去秋 今秋
夏 夏季
初夏 夏初
炎夏 炎暑
秋 秋季
深秋 晚秋
冬 冬季
严冬 隆冬
秋冬季 冬春
季节 季
黄梅 黄梅季
雨季 旱季
三夏 三秋
伏天 三伏
中伏 二伏
末伏 三伏
数九 九
月 月份
正月 新月
二月 仲春
三月 季春
四月 四月份
五月 仲夏
八月 仲秋
九月 暮秋
十月 小阳春
十一月 仲冬
十二月 腊月
小月 小建
平月 闰月
旺月 淡月
宣传月 活动月
某月 半月
星期 周
星期一 周一
星期二 周二
星期三 周三
星期四 周四
星期五 周五
星期六 周六
星期日 星期天
电影周 宣传周
日 天
当日 当天
今日 今天
明日 明天
昨日 昨天
前日 前天
初一 朔日
月半 望日
月底 晦
每日 每天
双日 单日
半日 全天
大前天 大后天
土地日 无烟日
初八 初九
节气 节
夏至 长至
冬至 长至
立春 雨水
节日 节
佳节 节令
妇女节 三八节
劳动节 五一节
八一建军节 八一
除夕 年夜
年初一 大年初一
春节 年节
元宵节 上元节
端午节 端午
中秋节 八月节
重阳节 重阳
青年节 植树节
圣诞节 复活节
假日 假期
病假 病休
生日 诞辰
忌日 忌辰
婚期 佳期
吉日 好日子
黎明 凌晨
早晨 早上
清晨 一清早
朝朝暮暮 花朝月夕
上午 午前
中午 正午
下午 午后
白天 白昼
傍晚 黄昏
晚上 夜晚
当晚 当夜
冬夜 秋夜
夜夜 每晚
夜间 夜里
半夜 夜半
深夜 漏夜
前半夜 上半夜
后半夜 下半夜
黑夜 白夜
昼夜 日夜
早晚 晨昏
小时 钟点
时 点钟
学时 课时
分钟 秒钟
两点 零点
时辰 时
子时 丑时
这时 这时候
那时 那时候
几时 何时
方向 方位
同方向 一顺儿
动向 走向
逆时针 顺时针
位置 部位
座位 位子
上座 上位
下位 末座
铺位 床位
雅座 茶座
硬席 软席
地铺 统铺
炮位 岗位
案头 城头
临街面 斜对面
结合部 根部
位势 洪势
三维空间 二维
东南西北 四方
东 东方
南 南方
西 西方
北 北方
东南角 东北角
上 上面
以上 之上
海上 肩上
下 下面
以下 以次
水下 身下
地底 海底
左 左面
侧方 侧后
右 右面
前 前面
门前 陵前
前列 前项
后 后面
笔端 车尾
中 中间
店面间 田间
省际 区际
江心 街心
内 中
深处 奥
国内 海内
寺里 院里
林间 腹中
狱中 院中
馆里 寺里
镇里 城内
在家 在教
内在 外在
对内 对外
外 外面
室外 露天
野外 郊外
国外 海外
体外 全党外
内外 里外
境内外 校内外
旁边 边缘
耳畔 耳际
沿路 沿线
塘边 湖边
路旁 身旁
河畔 湖畔
附近 就近
手头 手边
周围 四周
对面 对门
天 天空
高空 太空
晴空 青天
空中 空间
天际 天边
星空 夜空
地 大地
分则 一则
广袤无际 一望无边
用地 征地
地方 地域
市区 城区
故地 旧地
空地 隙地
立锥之地 弹丸之地
源 源头
北国 北疆
殖民地 半殖民地
郊区 解放区
区域 海域
滇西 中北部
以东 以南
中西方 非西方
降雨带 雨带
特区 经济特区
南区 市中心
防护林带 绿化带
蜜源 风源
非洲 欧洲
中西亚 东北亚
波黑 马里亚纳
西楚 晋察冀
格林威治 加沙
后场 中前场
气田 稠油田
中国海 北部湾
客运段 车务段
日本 阿曼
地点 地址
汇合处 交界处
农技站 农技推广站
灌溉站 排灌站
推广站 宣传站
飞机场 机场
空白点 空白处
宅基地 居所
居民点 定居点
发射点 火力点
新址 旧址
住址 校址
汇合点 交会点
考察站 监督站
基地 出发地
立足之地 用武之地
原处 他处
住院处 工作处
暗处 明处
基址 坝址
南门 后院
中心站 分站
餐饮部 记者部
龙窑 车江窑
校园 船坞
到处 各处
遍地 匝地
各市 各站
山区 山国
五指山区 沂蒙
水乡 泽国
上游 上流
中游 中流
下游 下流
上中游 中上游
远方 远处
边远 边地
僻壤 荒漠
内地 腹地
前方 前线
阵地 防区
二线 第一线
统一战线 统战
后方 大后方
驻地 营地
战场 疆场
军分区 防御区
领土 疆土
孤岛 半壁江山
属地 采地
领地 领空
失地 敌占区
边疆 边界
界线 界
国界 省界
水线 中线
本地 本土
外地 外边
外县 外省
家乡 故乡
胜地 佳境
颐和园 香格里拉
景点 新景点
乐园 乐土
树荫 绿荫
林荫 柳荫
荒地 荒
坟地 墓地
晋侯墓 古墓
要地 要冲
险地 险
关口 关
卡子 卡
廉洁关 廉政关
验收关 检验关
设卡 立卡
边卡 路卡
海关 嘉峪关
质量关 繁殖关
渡口 渡头
路口 街口
十字路口 十字街头
岔口 三岔路口
通道口 入口
河口 海口
瓶口 碗口
缺口 破口
决口 决
决堤 断堤
洞 孔
山洞 岩洞
地洞 地道
卯眼 凿
涵洞 门洞
桥孔 气孔
泉眼 炮眼
缝 罅
空隙 空儿
牙缝 石缝
坑 坑穴
坑洼 土坑
点 心
力点 重点
圆心 重心
线 线条
垂线 垂直线
直线 曲线
圆心角 中心角
多面角 立体角
倾角 倾斜角
磁倾角 倾角
内角 外角
面 平面
剖面 切面
横剖面 横切面
纵剖面 纵切面
水平面 水准
垂直面 斜面
立方体 正方体
球体 球
角锥体 棱锥
角柱体 棱柱体
几何体 立体
长方体 圆锥体
常温层 单斜层
拐角 拐弯
角落 犄角
墙角 死角
城市 市
码头 埠
大都市 大都会
我市 本市
危城 旧城
营口 威海
威尼斯 维多利亚
镍都 药都
科学城 文化城
大中城市 中小城市
集镇 镇
苗乡 傣乡
渔乡 生态乡
特困乡 贫困乡
四里八乡 十里八乡
乡村 农村
村庄 村
荒村 三家村
寨子 寨
北吴村 新村
度假村 儿童村
老寨 瑶寨
大鹿岛村 上湖村
教育村 奥运村
自然村 行政村
车站 站
汽车站 火车站
济南站 哈站
港口 口岸
军港 商港
道路 路途
陆路 旱路
水路 水道
大路 大道
小路 便道
山路 山道
弯路 弯道
岔路 岔道
远路 远道
近路 近道
要道 孔道
隘路 畏途
中途 半途
高架道路 高架路
盘山路 盘山道
主干路 主干道
熟路 老路
行车道 单行道
山水田林路 环城路
石子路 水泥路
路线 路
轨道 轨迹
航路 航线
电路 通路
铁道线 运输线
管道 弹道
双轨 单轨
主渠道 引航道
沿途 路段
场所 处所
现场 当场
住所 寓所
哨所 岗哨
试场 考场
市场 商场
集市 市集
刑场 法场
屠场 屠宰场
会馆 会所
容身之地 宿处
英雄无用武之地 无用武之地
靶场 练兵场
电场 磁场
收容所 诊疗所
途次 客
救护所 庇护所
球馆 保龄球馆
固定岗 流动岗
牛市 鱼市
世界市场 共同市场
劳务市场 农贸市场
夜场 晓市
娱乐城 食品城
华尔街 八廓街
科学院 农科院
贫民区 贫民窟
市府 总署
天安门广场 百货大楼
大集 年集
妓院 烟花巷
巢穴 老巢
匪巢 匪窟
赌窟 赌场
贩毒点 红灯区
这里 这边
该地 该镇
那里 那边
哪里 何处
事情 事
事项 须知
两回事 两码事
事实 实事
国事 国务
政事 政务
外事 外务
要事 大事
公事 公务
急事 急
危险 奇险
难事 难题
时事 新闻
趣事 佳话
好事 佳话
乐事 快事
喜事 好事
婚事 亲事
丧事 白事
红白喜事 红白事
佛事 法事
憾事 恨事
世事 尘世
逸事 轶事
奇事 怪事
遗事 事迹
风流韵事 韵事
琐事 琐屑
家事 家务
秘事 秘密
机密 事机
亏心事 缺德事
坏事 勾当
丑 丑事
鳞爪 片断
蠢事 傻事
非公务 私事
事事 万事
新鲜事 新人新事
风险 高风险
内政 市政
机务 军务
急务 不急之务
责任险 产险
危机 财政危机
商事 财经
官事 民事
事件 事变
惨案 血案
事故 事
麻烦 枝节
意外 万一
人身事故 责任事故
变故 变
波折 曲折
沧海桑田 沧桑
量变 质变
政变 兵变
动乱 变乱
十年动乱 十年浩劫
暴乱 战乱
风潮 浪潮
狂澜 狂飙
涡流 水涡
群众运动 人民战争
工人运动 工运
狂潮 热潮
科技潮 创业潮
事例 例
比方 譬喻
先例 前例
惯例 向例
实例 范例
案件 案子
血案 命案
疑案 悬案
冤案 冤狱
投诉案 诉讼案
本案 该案
大要案 大案要案
专案 旧案
破产案 预算案
贿选案 舞弊案
抢劫案 盗窃案
走私案 偷抗税案
假酒案 商品案
中毒案 医案
并购案 金钱案
不信任案 关系案
疑问 问号
什么样 怎么办
嫌疑 嫌
过程 进程
始末 本末
内中 其中
开端 肇端
破天荒 开天辟地
新春伊始 新年伊始
末尾 末了
结局 终局
往事 旧事
经历 阅历
历史 史
艳史 浪漫史
